Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms
Ax0269a,A71EV2A-x0269_A_147_A71EV2A-x0395+A+148+1,Z1456069604,O=C(N[C@@H]1CCCNC1)c1ccccc1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0278a,A71EV2A-x0278_A_201_A71EV2A-x0501+A+152+1,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0278b,A71EV2A-x0278_A_147_A71EV2A-x0541+A+147+1,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0305a,A71EV2A-x0305_A_147_A71EV2A-x0541+A+147+1,Z1639162606,CNS(=O)(=O)c1cccc(C)c1F,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0309a,A71EV2A-x0309_A_147_A71EV2A-x0486+A+147+1,Z1685106505,Cn1ccnc1-c1noc(C2CCC2)n1,True,7a - A71EV2A-x0486,7 - A147,F1i - A71_2A_open - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0310a,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1,Z1688504114,Cc1nn(C)c(C)c1NC(=O)CC#N,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0608a,A71EV2A-x0608_A_147_A71EV2A-x0486+A+147+1,Z2064898339,Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1,True,7a - A71EV2A-x0486,7 - A147,F1i - A71_2A_open - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0691a,A71EV2A-x0691_A_201_A71EV2A-x0541+A+147+1,Z285782452,CNc1ccccc1S(C)(=O)=O,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0152a,A71EV2A-x0152_A_147_A71EV2A-x0501+A+152+1,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0152b,A71EV2A-x0152_A_201_A71EV2A-x0395+A+148+1,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0188a,A71EV2A-x0188_A_147_A71EV2A-x0541+A+147+1,Z355202286,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0194a,A71EV2A-x0194_A_147_A71EV2A-x0395+A+148+1,Z3664805965,Fc1ccccc1CNC1CCOCC1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0202a,A71EV2A-x0202_A_147_A71EV2A-x0395+A+148+1,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0202b,A71EV2A-x0202_A_201_A71EV2A-x0488+A+147+1,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,True,8a - A71EV2A-x0202,8 - A147,F1j - A71_2A_open - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0207a,A71EV2A-x0207_A_151_A71EV2A-x0501+A+152+1,Z384361454,Cc1cc(C(=O)NC[C@H]2CCOC2)on1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0228a,A71EV2A-x0228_A_147_A71EV2A-x0501+A+152+1,Z425757818,CS(=O)(=O)N1CCC(O)CC1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0229a,A71EV2A-x0229_A_147_A71EV2A-x0501+A+152+1,Z426041412,CS(=O)(=O)Nc1ccc(CN)cc1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
